index,date,time,temp_c,temp_f,condition,humidity,wind_kph
0,2025-09-22,2025-09-22 00:00,10.2,50.4,Clear ,68,13.0
1,2025-09-22,2025-09-22 01:00,9.9,49.8,Clear ,71,13.0
2,2025-09-22,2025-09-22 02:00,9.7,49.4,Clear ,73,14.4
3,2025-09-22,2025-09-22 03:00,9.4,48.9,Clear ,73,14.4
4,2025-09-22,2025-09-22 04:00,9.2,48.6,Clear ,73,14.8
5,2025-09-22,2025-09-22 05:00,9.0,48.3,Clear ,72,15.1
6,2025-09-22,2025-09-22 06:00,8.9,48.1,Clear ,72,15.1
7,2025-09-22,2025-09-22 07:00,8.3,46.9,Sunny,81,15.1
8,2025-09-22,2025-09-22 08:00,11.2,52.2,Sunny,59,16.2
9,2025-09-22,2025-09-22 09:00,12.9,55.2,Sunny,50,17.6
10,2025-09-22,2025-09-22 10:00,14.1,57.4,Sunny,43,17.6
11,2025-09-22,2025-09-22 11:00,15.0,59.0,Sunny,40,16.6
12,2025-09-22,2025-09-22 12:00,15.8,60.5,Sunny,37,16.2
13,2025-09-22,2025-09-22 13:00,16.4,61.4,Partly Cloudy ,35,17.3
14,2025-09-22,2025-09-22 14:00,16.5,61.8,Partly Cloudy ,33,17.3
15,2025-09-22,2025-09-22 15:00,16.5,61.6,Partly Cloudy ,32,16.6
16,2025-09-22,2025-09-22 16:00,15.9,60.6,Partly Cloudy ,33,18.4
17,2025-09-22,2025-09-22 17:00,15.0,59.0,Partly Cloudy ,37,17.3
18,2025-09-22,2025-09-22 18:00,13.8,56.9,Sunny,40,14.8
19,2025-09-22,2025-09-22 19:00,12.7,54.8,Clear ,45,13.0
20,2025-09-22,2025-09-22 20:00,12.1,53.7,Clear ,48,10.8
21,2025-09-22,2025-09-22 21:00,11.6,52.9,Clear ,51,9.4
22,2025-09-22,2025-09-22 22:00,11.3,52.3,Clear ,53,7.9
23,2025-09-22,2025-09-22 23:00,10.9,51.7,Clear ,56,6.1
24,2025-09-23,2025-09-23 00:00,10.7,51.2,Clear ,58,6.5
25,2025-09-23,2025-09-23 01:00,10.4,50.6,Clear ,58,7.6
26,2025-09-23,2025-09-23 02:00,10.0,50.1,Clear ,59,8.3
27,2025-09-23,2025-09-23 03:00,9.8,49.7,Clear ,59,8.3
28,2025-09-23,2025-09-23 04:00,9.6,49.2,Partly Cloudy ,61,8.3
29,2025-09-23,2025-09-23 05:00,9.4,48.9,Cloudy ,62,8.3
30,2025-09-23,2025-09-23 06:00,9.2,48.6,Overcast ,64,8.3
31,2025-09-23,2025-09-23 07:00,9.7,49.5,Overcast ,62,11.2
32,2025-09-23,2025-09-23 08:00,11.0,51.7,Partly Cloudy ,58,14.0
33,2025-09-23,2025-09-23 09:00,12.4,54.4,Partly Cloudy ,55,15.1
34,2025-09-23,2025-09-23 10:00,13.9,57.0,Partly Cloudy ,51,13.3
35,2025-09-23,2025-09-23 11:00,15.0,59.0,Patchy rain nearby,47,13.0
36,2025-09-23,2025-09-23 12:00,15.3,59.5,Overcast ,46,13.7
37,2025-09-23,2025-09-23 13:00,15.6,60.0,Overcast ,46,13.3
38,2025-09-23,2025-09-23 14:00,15.8,60.4,Overcast ,45,12.2
39,2025-09-23,2025-09-23 15:00,15.9,60.5,Overcast ,45,11.2
40,2025-09-23,2025-09-23 16:00,15.9,60.6,Cloudy ,45,12.2
41,2025-09-23,2025-09-23 17:00,15.4,59.7,Cloudy ,48,13.7
42,2025-09-23,2025-09-23 18:00,14.8,58.7,Partly Cloudy ,53,13.7
43,2025-09-23,2025-09-23 19:00,14.4,57.9,Partly Cloudy ,56,13.7
44,2025-09-23,2025-09-23 20:00,13.6,56.5,Partly Cloudy ,60,13.3
45,2025-09-23,2025-09-23 21:00,12.7,54.8,Clear ,67,13.3
46,2025-09-23,2025-09-23 22:00,11.9,53.4,Clear ,75,12.2
47,2025-09-23,2025-09-23 23:00,11.7,53.1,Partly Cloudy ,80,12.6
