country,year,va,ps,ge,rq,rl,cc,fh,cc_round,fh_status
Mongolia,2016,0.45,0.82,-0.11,-0.08,-0.22,-0.5,1.5,-0.5,not free
Panama,2016,0.53,0.43,0.19,0.36,0.03,-0.49,2.0,-0.5,not free
Benin,2016,0.5,0.05,-0.57,-0.53,-0.65,-0.48,2.0,-0.5,not free
Nauru,2016,0.52,0.55,-0.69,-0.38,-0.8,-0.47,2.0,-0.5,not free
Palau,2016,1.23,0.93,-0.41,-0.18,0.32,-0.47,1.0,-0.5,not free
Brazil,2016,0.47,-0.45,-0.18,-0.21,-0.08,-0.44,2.0,-0.4,not free
Tonga,2016,0.67,0.91,-0.29,-0.41,0.24,-0.44,2.0,-0.4,not free
Serbia,2016,0.21,0.05,0.09,0.06,-0.12,-0.31,2.0,-0.3,not free
Argentina,2016,0.54,0.22,0.18,-0.47,-0.35,-0.31,2.0,-0.3,not free
Trinidad and Tobago,2016,0.6,0.28,0.22,0.09,-0.16,-0.26,2.0,-0.3,not free
Belize,2016,0.67,0.06,-0.68,-0.51,-0.86,-0.24,1.5,-0.2,not free
Ghana,2016,0.64,-0.16,-0.2,-0.23,0.0,-0.17,1.5,-0.2,not free
Bulgaria,2016,0.44,0.03,0.29,0.66,-0.04,-0.16,2.0,-0.2,not free
Tunisia,2016,0.33,-0.99,-0.21,-0.47,0.02,-0.12,2.0,-0.1,not free
Vanuatu,2016,0.69,0.51,-0.88,-0.29,0.32,-0.1,2.0,-0.1,not free
São Tomé and Principe,2016,0.45,0.23,-0.68,-0.81,-0.69,-0.06,2.0,-0.1,not free
Marshall Islands,2016,1.2,0.93,-1.56,-0.98,-0.1,-0.06,1.0,-0.1,not free
Greece,2016,0.65,-0.14,0.21,0.15,0.2,-0.05,2.0,-0.0,not free
Senegal,2016,0.37,-0.27,-0.47,-0.14,-0.19,-0.03,2.0,-0.0,not free
Romania,2016,0.51,0.27,-0.17,0.59,0.3,0.0,2.0,0.0,not free
Tuvalu,2016,1.09,1.4,-0.93,-0.59,0.46,0.03,1.0,0.0,not free
Puerto Rico,2016,0.4,0.81,0.38,0.95,0.68,0.04,1.0,0.0,not free
South Africa,2016,0.64,-0.13,0.27,0.21,0.07,0.05,2.0,0.0,not free
Italy,2016,1.04,0.35,0.52,0.71,0.27,0.05,1.0,0.0,not free
Hungary,2016,0.37,0.71,0.45,0.6,0.51,0.08,2.0,0.1,not free
Croatia,2016,0.52,0.68,0.49,0.36,0.44,0.19,1.5,0.2,not free
Slovak Republic,2016,0.94,0.62,0.89,0.89,0.69,0.24,1.0,0.2,not free
Kiribati,2016,1.03,0.87,-0.45,-0.84,0.21,0.25,1.0,0.2,not free
Samoa,2016,0.76,1.19,0.54,-0.1,0.76,0.28,2.0,0.3,not free
Mauritius,2016,0.86,1.05,0.96,1.03,0.8,0.32,1.5,0.3,not free
Namibia,2016,0.61,0.74,0.17,-0.14,0.39,0.37,2.0,0.4,not free
"Korea, Rep.",2016,0.63,0.17,1.07,1.11,1.14,0.37,2.0,0.4,not free
Latvia,2016,0.87,0.39,1.0,1.08,0.95,0.49,2.0,0.5,not free
Czech Republic,2016,1.05,0.99,1.06,0.99,1.09,0.51,1.0,0.5,not free
Spain,2016,1.06,0.49,1.12,1.01,0.98,0.52,1.0,0.5,not free
St. Kitts and Nevis,2016,1.07,0.62,0.14,0.37,0.51,0.52,1.5,0.5,not free
Grenada,2016,0.86,1.01,-0.18,0.08,0.57,0.57,1.5,0.6,not free
Dominica,2016,0.99,1.13,0.05,0.2,0.61,0.63,1.0,0.6,not free
St. Lucia,2016,1.09,0.86,0.01,0.29,0.51,0.63,1.0,0.6,not free
"Micronesia, Fed. Sts.",2016,1.16,1.05,-0.35,-0.97,-0.06,0.65,1.0,0.6,not free
Lithuania,2016,0.99,0.8,1.09,1.14,1.02,0.67,1.0,0.7,not free
St. Vincent and the Grenadines,2016,1.04,1.01,0.21,0.28,0.41,0.68,1.0,0.7,not free
Antigua and Barbuda,2016,0.65,1.01,0.27,0.34,0.51,0.69,2.0,0.7,not free
Costa Rica,2016,1.14,0.75,0.36,0.41,0.46,0.7,1.0,0.7,not free
Malta,2016,1.2,1.08,0.95,1.16,1.08,0.72,1.0,0.7,not free
Poland,2016,0.84,0.51,0.69,0.95,0.68,0.75,1.0,0.8,not free
Slovenia,2016,1.0,0.99,1.12,0.64,1.08,0.8,1.0,0.8,not free
Cyprus,2016,1.08,0.57,0.98,1.05,0.73,0.82,1.0,0.8,not free
"Taiwan, China",2016,1.04,0.93,1.37,1.29,1.14,0.86,1.5,0.9,not free
Cape Verde,2016,1.02,0.88,0.1,-0.3,0.35,0.88,1.0,0.9,not free
Portugal,2016,1.17,1.02,1.22,0.84,1.13,0.96,1.0,1.0,not free
Israel,2016,0.77,-0.83,1.35,1.31,1.02,1.06,1.5,1.1,not free
Chile,2016,1.0,0.51,1.02,1.37,1.13,1.11,1.0,1.1,not free
"Bahamas, The",2016,0.94,0.9,0.72,0.26,0.23,1.13,1.0,1.1,not free
Estonia,2016,1.2,0.69,1.12,1.7,1.24,1.21,1.0,1.2,not free
Andorra,2016,1.2,1.4,1.86,0.87,1.56,1.23,1.0,1.2,not free
Barbados,2016,1.1,0.96,1.08,0.48,0.78,1.24,1.0,1.2,not free
Uruguay,2016,1.18,1.1,0.55,0.49,0.63,1.32,1.0,1.3,not free
United States,2016,1.1,0.35,1.48,1.5,1.67,1.33,1.0,1.3,not free
France,2016,1.08,-0.06,1.41,1.07,1.41,1.37,1.0,1.4,not free
Japan,2016,1.0,1.01,1.83,1.43,1.38,1.51,1.0,1.5,not free
Austria,2016,1.29,0.82,1.51,1.44,1.78,1.54,1.0,1.5,not free
Belgium,2016,1.35,0.48,1.33,1.34,1.4,1.6,1.0,1.6,not free
Ireland,2016,1.29,0.88,1.35,1.74,1.54,1.63,1.0,1.6,not free
Australia,2016,1.3,0.96,1.58,1.9,1.75,1.77,1.0,1.8,not free
Germany,2016,1.33,0.76,1.74,1.82,1.61,1.83,1.0,1.8,not free
United Kingdom,2016,1.24,0.38,1.61,1.76,1.63,1.88,1.0,1.9,not free
Netherlands,2016,1.48,0.89,1.84,1.98,1.89,1.95,1.0,2.0,not free
Canada,2016,1.38,1.24,1.8,1.74,1.84,1.98,1.0,2.0,not free
Iceland,2016,1.34,1.33,1.41,1.28,1.51,1.99,1.0,2.0,not free
Liechtenstein,2016,1.19,1.46,1.7,1.37,1.68,2.05,1.0,2.0,not free
Switzerland,2016,1.46,1.32,2.03,1.91,1.94,2.05,1.0,2.0,not free
Luxembourg,2016,1.44,1.41,1.69,1.72,1.71,2.08,1.0,2.1,not free
Norway,2016,1.58,1.17,1.88,1.7,2.02,2.2,1.0,2.2,not free
Sweden,2016,1.5,0.98,1.79,1.85,2.04,2.22,1.0,2.2,not free
Denmark,2016,1.47,0.85,1.89,1.58,1.9,2.24,1.0,2.2,not free
Finland,2016,1.49,0.96,1.85,1.82,2.02,2.28,1.0,2.3,not free
